כתובת,מהות הבקשה,pdf_url,תאריך,date_parsed,row_id,pdf_status,תאריך_הדפסה,מתאריך,עד_תאריך,שם_בעל_הרישיון,סיבת_הבקשה,סיבה_מילולית,ישוב,רחוב,מס,גוש,חלקה,מיני_עצים,מספרי_עצים,מספר_מינים_שחולצו
יוסף קרוננברג,כריתה,https://www.rehovot.muni.il/uploads/n/1755675773.1761.pdf,02/01/26-02/09/25,2025-09-02,יוסף קרוננברג|כריתה|https://www.rehovot.muni.il/uploads/n/1755675773.1761.pdf|02/01/26-02/09/25,http_200,19/08/2025,02/09/2025,02/01/2026,עיריית רחובות,עץ מת,עץ יבש,רחובות,יוסף קרוננברג,,3697,390,סיגלון עלה-מימוזה,1,1
הרב מאור יוסף,כריתה,https://www.rehovot.muni.il/uploads/n/1755500681.3598.pdf,31/12/25-31/08/25,2025-08-31,הרב מאור יוסף|כריתה|https://www.rehovot.muni.il/uploads/n/1755500681.3598.pdf|31/12/25-31/08/25,http_200,17/08/2025,31/08/2025,31/12/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,הרב מאור יוסף,,3700,432,סיגלון עלה-מימוזה,1,1
יעקב דרויאן,כריתה,https://www.rehovot.muni.il/uploads/n/1755497070.9096.pdf,31/12/25-31/08/25,2025-08-31,יעקב דרויאן|כריתה|https://www.rehovot.muni.il/uploads/n/1755497070.9096.pdf|31/12/25-31/08/25,http_200,17/08/2025,31/08/2025,31/12/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,יעקב דרויאן,,3699,243,פנסית דו-נוצתית,1,1
משה פורר,כריתה,https://www.rehovot.muni.il/uploads/n/1755497158.3458.pdf,31/12/25-31/08/25,2025-08-31,משה פורר|כריתה|https://www.rehovot.muni.il/uploads/n/1755497158.3458.pdf|31/12/25-31/08/25,http_200,17/08/2025,31/08/2025,31/12/2025,עיריית רחובות,עץ מת,עצים יבשים,רחובות,משה פורר,,3699,442,פנסית דו-נוצתית,2,1
דרך ירושלים,כריתה,https://www.rehovot.muni.il/uploads/n/1755497698.5658.pdf,31/12/25-31/08/25,2025-08-31,דרך ירושלים|כריתה|https://www.rehovot.muni.il/uploads/n/1755497698.5658.pdf|31/12/25-31/08/25,http_200,17/08/2025,31/08/2025,31/12/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,דרך ירושלים,,3699,354,צאלון נאה,1,1
הרצל,כריתה,https://www.rehovot.muni.il/uploads/n/1755495041.4373.pdf,31/12/25-31/08/25,2025-08-31,הרצל|כריתה|https://www.rehovot.muni.il/uploads/n/1755495041.4373.pdf|31/12/25-31/08/25,http_200,17/08/2025,31/08/2025,31/12/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,הרצל,,3647,8,סיגלון עלה-מימוזה,1,1
מנחם בגין,כריתה,https://www.rehovot.muni.il/uploads/n/1755501630.4759.pdf,31/12/25-31/08/25,2025-08-31,מנחם בגין|כריתה|https://www.rehovot.muni.il/uploads/n/1755501630.4759.pdf|31/12/25-31/08/25,http_200,17/08/2025,31/08/2025,31/12/2025,עיריית רחובות,עץ מת,עצים יבשים,רחובות,מנחם בגין,,3700,575,ברוש מצוי,2,1
אהוד דולינסקי,כריתה,https://www.rehovot.muni.il/uploads/n/1755495149.6591.pdf,31/12/25-31/08/25,2025-08-31,אהוד דולינסקי|כריתה|https://www.rehovot.muni.il/uploads/n/1755495149.6591.pdf|31/12/25-31/08/25,http_200,17/08/2025,31/08/2025,31/12/2025,עיריית רחובות,עץ מת,עצים מנוונים,רחובות,אהוד דולינסקי,,3698,443,שזיף הדובדבן,4,1
אהוד דולינסקי,כריתה,https://www.rehovot.muni.il/uploads/n/1755414324.6229.pdf,31/12/25-31/08/25,2025-08-31,אהוד דולינסקי|כריתה|https://www.rehovot.muni.il/uploads/n/1755414324.6229.pdf|31/12/25-31/08/25,http_200,17/08/2025,31/08/2025,31/12/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,אהוד דולינסקי,,3698,69,הדר החושחש,1,1
החשמונאים,כריתה,https://www.rehovot.muni.il/uploads/n/1755068248.3426.pdf,27/12/25-27/08/25,2025-08-27,החשמונאים|כריתה|https://www.rehovot.muni.il/uploads/n/1755068248.3426.pdf|27/12/25-27/08/25,http_200,13/08/2025,27/08/2025,27/12/2025,עיריית רחובות,אחר,רקבון בגזע /מנוון,רחובות,החשמונאים,,3658,206,"סיגלון עלה-מימוזה
סיסם הודי","1
1",2
ביל״ו,כריתה,https://www.rehovot.muni.il/uploads/n/1755068348.4102.pdf,27/12/25-27/08/25,2025-08-27,ביל״ו|כריתה|https://www.rehovot.muni.il/uploads/n/1755068348.4102.pdf|27/12/25-27/08/25,http_200,13/08/2025,27/08/2025,27/12/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,בילו,,3701,3,הדר החושחש,1,1
הרצל 234,כריתה,https://www.rehovot.muni.il/uploads/n/1755068403.7533.pdf,27/12/25-27/08/25,2025-08-27,הרצל 234|כריתה|https://www.rehovot.muni.il/uploads/n/1755068403.7533.pdf|27/12/25-27/08/25,http_200,13/08/2025,27/08/2025,27/12/2025,מכון ויצמן למדע,אחר,עץ שנשבר לחצי(ללא צמרת),רחובות,הרצל234,,,,אורן ירושלים,1,1
הרצל 229,כריתה,https://www.rehovot.muni.il/uploads/n/1755073385.4981.pdf,26/12/25-26/08/25,2025-08-26,הרצל 229|כריתה|https://www.rehovot.muni.il/uploads/n/1755073385.4981.pdf|26/12/25-26/08/25,http_200,12/08/2025,26/08/2025,26/12/2025,שמואל גורודסקי,בטיחות,מנוונים/חולים,רחובות,הרצל229,,3647,111,"פיקוס חלוד
מכנף נאה","1
1",2
הרצל 234,כריתה,https://www.rehovot.muni.il/uploads/n/1754891390.2118.pdf,24/12/25-24/08/25,2025-08-24,הרצל 234|כריתה|https://www.rehovot.muni.il/uploads/n/1754891390.2118.pdf|24/12/25-24/08/25,http_200,10/08/2025,24/08/2025,24/12/2025,מכון ויצמן למדע,אחר,עץ שבור כתוצאה מנפילת עץ אחר עליו,רחובות,הרצל234,,,,בוהיניה מגוונת,1,1
דרך יבנה,כריתה,https://www.rehovot.muni.il/uploads/n/1754891527.5634.pdf,24/12/25-24/08/25,2025-08-24,דרך יבנה|כריתה|https://www.rehovot.muni.il/uploads/n/1754891527.5634.pdf|24/12/25-24/08/25,http_200,10/08/2025,24/08/2025,24/12/2025,עיריית רחובות,בטיחות,מסקנות בדיקת משיכה /יבש,רחובות,דרך יבנה,,3647,9,"סיגלון עלה-מימוזה
ספיון השעווה","2
1",2
מגיני הגליל,כריתה,https://www.rehovot.muni.il/uploads/n/1754891613.5833.pdf,24/12/25-24/08/25,2025-08-24,מגיני הגליל|כריתה|https://www.rehovot.muni.il/uploads/n/1754891613.5833.pdf|24/12/25-24/08/25,http_200,10/08/2025,24/08/2025,24/12/2025,הילית צוקר,אחר,גורם נזק לבנוי ולצנרת,רחובות,מגיני הגליל,11,,607,פיקוס השדרות,1,1
הרב זכריה מדאר,כריתה,https://www.rehovot.muni.il/uploads/n/1754569117.6653.pdf,21/12/25-21/08/25,2025-08-21,הרב זכריה מדאר|כריתה|https://www.rehovot.muni.il/uploads/n/1754569117.6653.pdf|21/12/25-21/08/25,http_200,07/08/2025,21/08/2025,21/12/2025,עיריית רחובות,אחר,"חיגור בגזע(סקר עצים מוס""ח)",רחובות,הרב זכריה מדאר,,,,,,0
מנדלי מוכר הספרים 20,כריתה,https://www.rehovot.muni.il/uploads/n/1754568839.3006.pdf,21/12/25-21/08/25,2025-08-21,מנדלי מוכר הספרים 20|כריתה|https://www.rehovot.muni.il/uploads/n/1754568839.3006.pdf|21/12/25-21/08/25,http_200,07/08/2025,21/08/2025,21/12/2025,דרורי הרצל,אחר,חיגור בגזע-התפתחו בתוך צוקיות,רחובות,מנדלי מוכר הספרים,20,,460,ברוש גדול-פירות,7,1
המעפיל,כריתה,https://www.rehovot.muni.il/uploads/n/1754568927.5667.pdf,20/12/25-20/08/25,2025-08-20,המעפיל|כריתה|https://www.rehovot.muni.il/uploads/n/1754568927.5667.pdf|20/12/25-20/08/25,http_200,06/08/2025,20/08/2025,20/12/2025,עיריית רחובות,בטיחות,"רקבון בגזע(סקר עצים מוס""ח)",רחובות,המעפיל,,3648,333,פיקוס בנימינה,1,1
דב קליין,כריתה,https://www.rehovot.muni.il/uploads/n/1754568657.1406.pdf,20/12/25-20/08/25,2025-08-20,דב קליין|כריתה|https://www.rehovot.muni.il/uploads/n/1754568657.1406.pdf|20/12/25-20/08/25,http_200,06/08/2025,20/08/2025,20/12/2025,עיריית רחובות,אחר,"חיגור בעץ(סקר עצים מוס""ח)",רחובות,דב קליין,,3655,262,פלפלון דמוי-אלה,1,1
"דרך פסטרנק 1 ביה""ח קפלן",העתקה,https://www.rehovot.muni.il/uploads/n/1659619206.5726.pdf,18/08/22-18/08/25,2025-08-18,"דרך פסטרנק 1 ביה""ח קפלן|העתקה|https://www.rehovot.muni.il/uploads/n/1659619206.5726.pdf|18/08/22-18/08/25",http_200_no_text,,,,,,,,,,,,,,
"דרך פסטרנק 1 ביה""ח קפלן",כריתה,https://www.rehovot.muni.il/uploads/n/1659619184.1821.pdf,18/08/22-18/08/25,2025-08-18,"דרך פסטרנק 1 ביה""ח קפלן|כריתה|https://www.rehovot.muni.il/uploads/n/1659619184.1821.pdf|18/08/22-18/08/25",http_200_no_text,,,,,,,,,,,,,,
חנה אברך,כריתה,https://www.rehovot.muni.il/uploads/n/1755496936.9381.pdf,17/12/25-17/08/25,2025-08-17,חנה אברך|כריתה|https://www.rehovot.muni.il/uploads/n/1755496936.9381.pdf|17/12/25-17/08/25,http_200_no_text,,,,,,,,,,,,,,
ארתור רופין 17,כריתה,https://www.rehovot.muni.il/uploads/n/1659419319.7957.pdf,16/08/22-16/08/25,2025-08-16,ארתור רופין 17|כריתה|https://www.rehovot.muni.il/uploads/n/1659419319.7957.pdf|16/08/22-16/08/25,http_200_no_text,,,,,,,,,,,,,,
יהודה גורודסקי  32,כריתה,https://www.rehovot.muni.il/uploads/n/1662877687.7746.pdf,14/08/22-14/08/25,2025-08-14,יהודה גורודסקי  32|כריתה|https://www.rehovot.muni.il/uploads/n/1662877687.7746.pdf|14/08/22-14/08/25,http_200_no_text,,,,,,,,,,,,,,
שדרות הקיבוצים,כריתה,https://www.rehovot.muni.il/uploads/n/1753602872.2116.pdf,10/12/25-10/08/25,2025-08-10,שדרות הקיבוצים|כריתה|https://www.rehovot.muni.il/uploads/n/1753602872.2116.pdf|10/12/25-10/08/25,http_200,27/07/2025,10/08/2025,10/12/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,שד 'הקיבוצים,,3698,123,סיגלון עלה-מימוזה,1,1
שדרות הקיבוצים,כריתה,https://www.rehovot.muni.il/uploads/n/1753602811.5752.pdf,10/12/25-10/08/25,2025-08-10,שדרות הקיבוצים|כריתה|https://www.rehovot.muni.il/uploads/n/1753602811.5752.pdf|10/12/25-10/08/25,http_200,27/07/2025,10/08/2025,10/12/2025,עיריית רחובות,עץ מת,גזע דקל יבש,רחובות,שדרות הקיבוצים,,3698,322,דקל המלך(רויסטוניאה מל,1,1
שי עגנון,כריתה,https://www.rehovot.muni.il/uploads/n/1753602756.1741.pdf,10/12/25-10/08/25,2025-08-10,שי עגנון|כריתה|https://www.rehovot.muni.il/uploads/n/1753602756.1741.pdf|10/12/25-10/08/25,http_200,27/07/2025,10/08/2025,10/12/2025,עיריית רחובות,עץ מת,עצים יבשים,רחובות,שי עגנון,,3699,349,דקל המלך(רויסטוניאה מל,2,1
משה סנה,כריתה,https://www.rehovot.muni.il/uploads/n/1753602577.2983.pdf,10/12/25-10/08/25,2025-08-10,משה סנה|כריתה|https://www.rehovot.muni.il/uploads/n/1753602577.2983.pdf|10/12/25-10/08/25,http_200,27/07/2025,10/08/2025,10/12/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,משה סנה.,,3697,396,מילה ירוקת-עד,1,1
ישראל בלקינד,כריתה,https://www.rehovot.muni.il/uploads/n/1753602695.9135.pdf,10/12/25-10/08/25,2025-08-10,ישראל בלקינד|כריתה|https://www.rehovot.muni.il/uploads/n/1753602695.9135.pdf|10/12/25-10/08/25,http_200,27/07/2025,10/08/2025,10/12/2025,עיריית רחובות,עץ מת,עצים יבשים,רחובות,ישראל בלקינד פינת דרך י-ם,,3699,445,"זית אירופי
חרוב מצוי","1
2",2
חזון איש,כריתה,https://www.rehovot.muni.il/uploads/n/1754806173.5868.pdf,10/12/25-10/08/25,2025-08-10,חזון איש|כריתה|https://www.rehovot.muni.il/uploads/n/1754806173.5868.pdf|10/12/25-10/08/25,http_200_no_text,,,,,,,,,,,,,,
ישעיהו 17,כריתה,https://www.rehovot.muni.il/uploads/n/1658833608.8534.pdf,09/08/22-09/08/25,2025-08-09,ישעיהו 17|כריתה|https://www.rehovot.muni.il/uploads/n/1658833608.8534.pdf|09/08/22-09/08/25,http_200_no_text,,,,,,,,,,,,,,
מנוחה ונחלה ביהס דה שליט,כריתה,https://www.rehovot.muni.il/uploads/n/1754569045.8661.pdf,07/12/25-07/08/25,2025-08-07,מנוחה ונחלה ביהס דה שליט|כריתה|https://www.rehovot.muni.il/uploads/n/1754569045.8661.pdf|07/12/25-07/08/25,http_200_no_text,,,,,,,,,,,,,,
צאלון ביהס בגין,כריתה,https://www.rehovot.muni.il/uploads/n/1754568580.7628.pdf,07/12/25-07/08/25,2025-08-07,צאלון ביהס בגין|כריתה|https://www.rehovot.muni.il/uploads/n/1754568580.7628.pdf|07/12/25-07/08/25,http_200_no_text,,,,,,,,,,,,,,
הרב הרצוג ביהס בכור לוי,כריתה,https://www.rehovot.muni.il/uploads/n/1754569361.2990.pdf,07/12/25-07/08/25,2025-08-07,הרב הרצוג ביהס בכור לוי|כריתה|https://www.rehovot.muni.il/uploads/n/1754569361.2990.pdf|07/12/25-07/08/25,http_200_no_text,,,,,,,,,,,,,,
הר הצופים ביהס רון ארד,כריתה,https://www.rehovot.muni.il/uploads/n/1754568773.7362.pdf,07/12/25-07/08/25,2025-08-07,הר הצופים ביהס רון ארד|כריתה|https://www.rehovot.muni.il/uploads/n/1754568773.7362.pdf|07/12/25-07/08/25,http_200_no_text,,,,,,,,,,,,,,
בארי 68,כריתה,https://www.rehovot.muni.il/uploads/n/1658394440.4806.pdf,04/08/22-04/08/25,2025-08-04,בארי 68|כריתה|https://www.rehovot.muni.il/uploads/n/1658394440.4806.pdf|04/08/22-04/08/25,http_200_no_text,,,,,,,,,,,,,,
דרך יבנה 47,כריתה,https://www.rehovot.muni.il/uploads/n/1658297551.8540.pdf,02/08/22-02/08/25,2025-08-02,דרך יבנה 47|כריתה|https://www.rehovot.muni.il/uploads/n/1658297551.8540.pdf|02/08/22-02/08/25,http_200_no_text,,,,,,,,,,,,,,
האלוף פרי - בן גוריון,כריתה,https://www.rehovot.muni.il/uploads/n/1658035780.8976.pdf,31/07/22-31/07/25,2025-07-31,האלוף פרי - בן גוריון|כריתה|https://www.rehovot.muni.il/uploads/n/1658035780.8976.pdf|31/07/22-31/07/25,http_200_no_text,,,,,,,,,,,,,,
הרצל 234 בית מרכוס,כריתה,https://www.rehovot.muni.il/uploads/n/1752476313.9273.pdf,27/11/25-27/07/25,2025-07-27,הרצל 234 בית מרכוס|כריתה|https://www.rehovot.muni.il/uploads/n/1752476313.9273.pdf|27/11/25-27/07/25,http_200,13/07/2025,27/07/2025,27/11/2025,מכון ויצמן למדע,עץ מת,עץ יבש,רחובות,הרצל234,,,,אדר סורי,1,1
הרצל 234 מדשאת סייבין,כריתה,https://www.rehovot.muni.il/uploads/n/1752476245.1304.pdf,27/11/25-27/07/25,2025-07-27,הרצל 234 מדשאת סייבין|כריתה|https://www.rehovot.muni.il/uploads/n/1752476245.1304.pdf|27/11/25-27/07/25,http_200,13/07/2025,27/07/2025,27/11/2025,מכון ויצמן למדע,עץ מת,עץ יבש,רחובות,הרצל234,,,,אלמוגן רחב-עלים,1,1
הרצל 234 רחבת הזיכרון,כריתה,https://www.rehovot.muni.il/uploads/n/1752476369.5126.pdf,27/11/25-27/07/25,2025-07-27,הרצל 234 רחבת הזיכרון|כריתה|https://www.rehovot.muni.il/uploads/n/1752476369.5126.pdf|27/11/25-27/07/25,http_200,13/07/2025,27/07/2025,27/11/2025,מכון ויצמן למדע,עץ מת,עץ יבש,רחובות,הרצל234,,,,חרוב מצוי,1,1
"צבי הורוביץ 152,154",העתקה,https://www.rehovot.muni.il/uploads/n/1752148673.3158.pdf,24/07/28-24/07/25,2025-07-24,"צבי הורוביץ 152,154|העתקה|https://www.rehovot.muni.il/uploads/n/1752148673.3158.pdf|24/07/28-24/07/25",http_200,10/07/2025,24/07/2025,24/07/2028,"י.ח דמרי בנייה ופיתוח בע""מ",בניה,הקמת מבנה מגורים כולל חניון תת קרקעי,רחובות,צבי הורוביץ,152,,"92,94",פיקוס השדרות,1,1
"צבי הורוביץ 152,154",כריתה,https://www.rehovot.muni.il/uploads/n/1752148619.7907.pdf,24/07/28-24/07/25,2025-07-24,"צבי הורוביץ 152,154|כריתה|https://www.rehovot.muni.il/uploads/n/1752148619.7907.pdf|24/07/28-24/07/25",http_200,10/07/2025,24/07/2025,24/07/2028,"י.ח דמרי בנייה ופיתוח בע""מ",בניה,הקמת מבנה מגורים כולל חניון תת קרקעי,רחובות,צבי הורוביץ,152,,"92,94","שלטית מקומטת
ברכיכיטון דו-גוני
אלמוגן רחב-עלים
סיסם הודי","5
1
1
1",4
אגמון,כריתה,https://www.rehovot.muni.il/uploads/n/1752056807.5668.pdf,23/11/25-23/07/25,2025-07-23,אגמון|כריתה|https://www.rehovot.muni.il/uploads/n/1752056807.5668.pdf|23/11/25-23/07/25,http_200,09/07/2025,23/07/2025,23/11/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,אגמון,,3769,192,ברכיכיטון אדרי,1,1
בעל התניא,כריתה,https://www.rehovot.muni.il/uploads/n/1752056743.3045.pdf,23/11/25-23/07/25,2025-07-23,בעל התניא|כריתה|https://www.rehovot.muni.il/uploads/n/1752056743.3045.pdf|23/11/25-23/07/25,http_200,09/07/2025,23/07/2025,23/11/2025,עיריית רחובות,עץ מת,גדם עץ יבש,רחובות,בעל התניא,,3769,161,צאלון נאה,1,1
הגאון הבן איש חי,כריתה,https://www.rehovot.muni.il/uploads/n/1752056659.4496.pdf,23/11/25-23/07/25,2025-07-23,הגאון הבן איש חי|כריתה|https://www.rehovot.muni.il/uploads/n/1752056659.4496.pdf|23/11/25-23/07/25,http_200,09/07/2025,23/07/2025,23/11/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,הגאון הבן איש חי,,3769,220,ברכיכיטון אדרי,1,1
רחוב גד פיינשטיין,כריתה,https://www.rehovot.muni.il/uploads/n/1657196970.7917.pdf,21/07/22-21/07/25,2025-07-21,רחוב גד פיינשטיין|כריתה|https://www.rehovot.muni.il/uploads/n/1657196970.7917.pdf|21/07/22-21/07/25,http_200_no_text,,,,,,,,,,,,,,
רחוב הרב צבי נריה מלצר,העתקה,https://www.rehovot.muni.il/uploads/n/1657196901.8234.pdf,21/07/22-21/07/25,2025-07-21,רחוב הרב צבי נריה מלצר|העתקה|https://www.rehovot.muni.il/uploads/n/1657196901.8234.pdf|21/07/22-21/07/25,http_200_no_text,,,,,,,,,,,,,,
רחוב הרב צבי נריה מלצר,כריתה,https://www.rehovot.muni.il/uploads/n/1657196838.5296.pdf,21/07/22-21/07/25,2025-07-21,רחוב הרב צבי נריה מלצר|כריתה|https://www.rehovot.muni.il/uploads/n/1657196838.5296.pdf|21/07/22-21/07/25,http_200_no_text,,,,,,,,,,,,,,
רחוב שדרות חן 46,כריתה,https://www.rehovot.muni.il/uploads/n/1657195485.8597.pdf,21/07/22-21/07/25,2025-07-21,רחוב שדרות חן 46|כריתה|https://www.rehovot.muni.il/uploads/n/1657195485.8597.pdf|21/07/22-21/07/25,http_200_no_text,,,,,,,,,,,,,,
מגיני הגליל,כריתה,https://www.rehovot.muni.il/uploads/n/1751891187.9733.pdf,21/11/25-21/07/25,2025-07-21,מגיני הגליל|כריתה|https://www.rehovot.muni.il/uploads/n/1751891187.9733.pdf|21/11/25-21/07/25,http_200,07/07/2025,21/07/2025,21/11/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,מגיני הגליל,,3700,22,סיגלון עלה-מימוזה,1,1
אריה דולצין,כריתה,https://www.rehovot.muni.il/uploads/n/1751891545.7830.pdf,21/11/25-21/07/25,2025-07-21,אריה דולצין|כריתה|https://www.rehovot.muni.il/uploads/n/1751891545.7830.pdf|21/11/25-21/07/25,http_200,07/07/2025,21/07/2025,21/11/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,אריה דולצין,,4536,99,סיגלון עלה-מימוזה,1,1
ישראל טלר,כריתה,https://www.rehovot.muni.il/uploads/n/1751891677.8945.pdf,21/11/25-21/07/25,2025-07-21,ישראל טלר|כריתה|https://www.rehovot.muni.il/uploads/n/1751891677.8945.pdf|21/11/25-21/07/25,http_200,07/07/2025,21/07/2025,21/11/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,ישראל טלר,,3703,287,אלוקזוארינה אשונה,1,1
רחוב שדרות חן 46,העתקה,https://www.rehovot.muni.il/uploads/n/1657195516.7454.pdf,21/07/22-21/07/25,2025-07-21,רחוב שדרות חן 46|העתקה|https://www.rehovot.muni.il/uploads/n/1657195516.7454.pdf|21/07/22-21/07/25,http_200_no_text,,,,,,,,,,,,,,
יחיאל מיכל פינס 11,כריתה,https://www.rehovot.muni.il/uploads/n/1657085736.3650.pdf,19/07/22-19/07/25,2025-07-19,יחיאל מיכל פינס 11|כריתה|https://www.rehovot.muni.il/uploads/n/1657085736.3650.pdf|19/07/22-19/07/25,http_200_no_text,,,,,,,,,,,,,,
יחיאל מיכל פינס 11,העתקה,https://www.rehovot.muni.il/uploads/n/1657085720.6702.pdf,19/07/22-19/07/25,2025-07-19,יחיאל מיכל פינס 11|העתקה|https://www.rehovot.muni.il/uploads/n/1657085720.6702.pdf|19/07/22-19/07/25,http_200_no_text,,,,,,,,,,,,,,
הרצל,כריתה,https://www.rehovot.muni.il/uploads/n/1751454656.1486.pdf,16/11/25-16/07/25,2025-07-16,הרצל|כריתה|https://www.rehovot.muni.il/uploads/n/1751454656.1486.pdf|16/11/25-16/07/25,http_200,02/07/2025,16/07/2025,16/11/2025,עיריית רחובות,עץ מת,גדם עץ יבש,רחובות,הרצל,,,167,איקליפטוס המקור,1,1
שלום שבזי,כריתה,https://www.rehovot.muni.il/uploads/n/1751379180.7547.pdf,15/11/25-15/07/25,2025-07-15,שלום שבזי|כריתה|https://www.rehovot.muni.il/uploads/n/1751379180.7547.pdf|15/11/25-15/07/25,http_200,01/07/2025,15/07/2025,15/11/2025,עיריית רחובות,בטיחות,רקבון בצוואר הגזע ובגזע המרכזי,רחובות,הרב שלום שבזי,,3705,129,איקליפטוס המקור,1,1
משה סנה,כריתה,https://www.rehovot.muni.il/uploads/n/1751280461.8804.pdf,14/11/25-14/07/25,2025-07-14,משה סנה|כריתה|https://www.rehovot.muni.il/uploads/n/1751280461.8804.pdf|14/11/25-14/07/25,http_200,30/06/2025,14/07/2025,14/11/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,משה סנה,,3697,396,מילה ירוקת-עד,1,1
האחים קיבוביץ,כריתה,https://www.rehovot.muni.il/uploads/n/1751280366.2255.pdf,14/11/25-14/07/25,2025-07-14,האחים קיבוביץ|כריתה|https://www.rehovot.muni.il/uploads/n/1751280366.2255.pdf|14/11/25-14/07/25,http_200,30/06/2025,14/07/2025,14/11/2025,עיריית רחובות,בטיחות,חלל משמעותי בגזע,רחובות,האחים קיבוביץ,,3702,401,פפאיה,1,1
הרצל 234 שכונת שמח,כריתה,https://www.rehovot.muni.il/uploads/n/1752476424.4348.pdf,13/11/25-13/07/25,2025-07-13,הרצל 234 שכונת שמח|כריתה|https://www.rehovot.muni.il/uploads/n/1752476424.4348.pdf|13/11/25-13/07/25,http_200_no_text,,,,,,,,,,,,,,
הדרור,כריתה,https://www.rehovot.muni.il/uploads/n/1751280104.3487.pdf,13/11/25-13/07/25,2025-07-13,הדרור|כריתה|https://www.rehovot.muni.il/uploads/n/1751280104.3487.pdf|13/11/25-13/07/25,http_200,29/06/2025,13/07/2025,13/11/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,הדרור,,5914,121,אלון מצוי,1,1
הרקפת 8,כריתה,https://www.rehovot.muni.il/uploads/n/1751274842.6928.pdf,10/11/25-10/07/25,2025-07-10,הרקפת 8|כריתה|https://www.rehovot.muni.il/uploads/n/1751274842.6928.pdf|10/11/25-10/07/25,http_200,26/06/2025,10/07/2025,10/11/2025,רחום טירן,מחלת עץ,עצים מנוונים/יבשים,רחובות,הרקפת,8,,242,ברוש גדול-פירות,3,1
הר ארבל 18 א',כריתה,https://www.rehovot.muni.il/uploads/n/1751271408.7834.pdf,10/11/25-10/07/25,2025-07-10,הר ארבל 18 א'|כריתה|https://www.rehovot.muni.il/uploads/n/1751271408.7834.pdf|10/11/25-10/07/25,http_200,26/06/2025,10/07/2025,10/11/2025,רועי עידן,אחר,גורם נזק לבנוי ולתשתיות,רחובות,הר ארבל,18,5714,163,ברכיכיטון אדרי,1,1
הרב יהודה שלמה אלקלעי,כריתה,https://www.rehovot.muni.il/uploads/n/1751871305.4519.pdf,07/11/25-07/07/25,2025-07-07,הרב יהודה שלמה אלקלעי|כריתה|https://www.rehovot.muni.il/uploads/n/1751871305.4519.pdf|07/11/25-07/07/25,http_200_no_text,,,,,,,,,,,,,,
דרך גד פינשטיין,כריתה,https://www.rehovot.muni.il/uploads/n/1750687610.7740.pdf,07/11/25-07/07/25,2025-07-07,דרך גד פינשטיין|כריתה|https://www.rehovot.muni.il/uploads/n/1750687610.7740.pdf|07/11/25-07/07/25,http_200,23/06/2025,07/07/2025,07/11/2025,עיריית רחובות,עץ מת,עצים יבשים,רחובות,דרך גד פיינשטיין,,3645,19,רוביניה בת-שיטה,4,1
כובשי החרמון גן ההרפתקאות,כריתה,https://www.rehovot.muni.il/uploads/n/1750571545.6647.pdf,03/11/25-03/07/25,2025-07-03,כובשי החרמון גן ההרפתקאות|כריתה|https://www.rehovot.muni.il/uploads/n/1750571545.6647.pdf|03/11/25-03/07/25,http_200,19/06/2025,03/07/2025,03/11/2025,עיריית רחובות,עץ מת,עץ יבש,רחובות,כובשי החרמון,,3705,487,ברוש מצוי,1,1
הרצל 234 (בניין סטון),כריתה,https://www.rehovot.muni.il/uploads/n/1750596342.9235.pdf,02/11/25-02/07/25,2025-07-02,הרצל 234 (בניין סטון)|כריתה|https://www.rehovot.muni.il/uploads/n/1750596342.9235.pdf|02/11/25-02/07/25,http_200,18/06/2025,02/07/2025,02/11/2025,מכון ויצמן למדע,עץ מת,עץ יבש,רחובות,הרצל234,,,,לגרסטרמיה הודית,1,1
הרצל 234 (בניין סטון),כריתה,https://www.rehovot.muni.il/uploads/n/1750594827.8861.pdf,02/11/25-02/07/25,2025-07-02,הרצל 234 (בניין סטון)|כריתה|https://www.rehovot.muni.il/uploads/n/1750594827.8861.pdf|02/11/25-02/07/25,http_200,18/06/2025,02/07/2025,02/11/2025,מכון ויצמן למדע,בטיחות,שבר משמעותי בגזע(רקבונות),רחובות,הרצל234,,,,צאלון נאה,1,1
הרצל 234,כריתה,https://www.rehovot.muni.il/uploads/n/1750594311.5177.pdf,02/11/25-02/07/25,2025-07-02,הרצל 234|כריתה|https://www.rehovot.muni.il/uploads/n/1750594311.5177.pdf|02/11/25-02/07/25,http_200,18/06/2025,02/07/2025,02/11/2025,מכון ויצמן למדע,מחלת עץ,רקבון בצוואר השורש,רחובות,הרצל234,,,,צאלון נאה,1,1
